file,pick,cos1,cos2,cos_margin,noisy_P808,noisy_SIG,noisy_BAK,noisy_OVRL,enh_P808,enh_SIG,enh_BAK,enh_OVRL,dP808,dSIG,dBAK,dOVRL
A1N8TKTLXV92QR_M_Typing_Regular_HS_Desk_Primary_fid2.wav,1,0.5895556211471558,0.3740207850933075,0.21553483605384827,3.3406288623809814,3.5117061136088057,1.9108928523403466,2.1804969125810394,3.096691846847534,3.1540523740798756,3.0076759439037364,2.48984485304069,-0.24393701553344727,-0.3576537395289301,1.0967830915633898,0.3093479404596504
A1OB5000KCKNJD_M_Baby_Emotional_HS_Desk_Primary_fid101.wav,1,0.5997623205184937,0.3452102541923523,0.25455206632614136,2.9806559085845947,3.478434223895212,1.9380889031976836,2.112625373596157,2.927873373031616,3.0887674147849435,3.925652933165397,2.7135932012127766,-0.052782535552978516,-0.38966680911026863,1.9875640299677133,0.6009678276166195
A1OB5000KCKNJD_M_Breathing_Regular_HS_Desk_Primary_fid25.wav,1,0.5714107155799866,0.27799925208091736,0.2934114634990692,3.248901128768921,3.6434101085656097,4.070697998462329,3.3548826450663762,3.4954559803009033,3.626744577957066,4.1097199581670765,3.314176799526528,0.24655485153198242,-0.016665530608543477,0.039021959704747644,-0.04070584553984835
A1OB5000KCKNJD_M_Breathing_Regular_HS_Desk_Primary_fid26.wav,1,0.560937225818634,0.24402545392513275,0.3169117569923401,3.2325117588043213,3.5932938760595707,3.946440972354475,3.208651203232621,3.399812936782837,3.4961039213364824,4.152096584712518,3.185288737973538,0.16730117797851562,-0.09718995472308833,0.20565561235804264,-0.02336246525908292
A1OB5000KCKNJD_M_Copy_Emotional_HS_Desk_Primary_fid2.wav,1,0.5221297144889832,0.3021298944950104,0.21999981999397278,2.988748550415039,3.5183290657574657,2.0805593801826014,2.1416816423152176,3.2320821285247803,3.443449318340047,3.5336245362738703,2.901111912307637,0.2433335781097412,-0.07487974741741876,1.4530651560912689,0.7594302699924196
A1OB5000KCKNJD_M_Dog_Regular_HS_Desk_Primary_fid5.wav,1,0.6106129288673401,0.3446430563926697,0.2659698724746704,3.6268134117126465,3.6007972795618537,3.8829871305068995,3.2054803902474966,3.7058305740356445,3.5941725329744334,4.063071098399488,3.281482193742249,0.07901716232299805,-0.006624746587420294,0.18008396789258896,0.07600180349475227
A1OB5000KCKNJD_M_Fan_Regular_HS_Desk_Primary_fid11.wav,1,0.5194531083106995,0.21004579961299896,0.3094072937965393,3.08300518989563,3.5241211725695694,2.993544370266994,2.67258286676959,3.025195598602295,3.3233693041360635,4.074194911526221,3.0182576541584663,-0.05780959129333496,-0.2007518684335059,1.080650541259227,0.34567478738887614
A1OB5000KCKNJD_M_Munching_Regular_HS_Desk_Primary_fid10.wav,1,0.5581635236740112,0.30680692195892334,0.2513566017150879,3.2956466674804688,3.518645726710284,3.0608814685050434,2.685077289140433,3.613147735595703,3.4500986982535546,3.8132844446210115,3.0343610068316114,0.3175010681152344,-0.06854702845672955,0.7524029761159681,0.3492837176911783
A1PUWQYUQRGCO_M_Breathing_Emotional_HS_Desk_Primary_fid15.wav,1,0.42657944560050964,0.14047090709209442,0.2861085534095764,2.647641181945801,1.216695691376195,1.2110469804615758,1.148940674086794,3.016381025314331,2.9684354916551072,3.2488845885634845,2.3564250056412477,0.3687398433685303,1.7517398002789122,2.037837608101909,1.2074843315544537
A1PUWQYUQRGCO_M_Water_Emotional_HS_Desk_Primary_fid32.wav,0,0.28774571418762207,0.5374413728713989,0.24969565868377686,2.7204818725585938,2.5592135244808243,2.0366653774979153,1.7740009162119321,2.35673451423645,2.2720129325695195,2.7195635779873797,1.8519931553995417,-0.36374735832214355,-0.28720059191130476,0.6828982004894644,0.07799223918760956
A1QUQ0TV9KVD4C_F_Chair_Regular_HS_Desk_Primary_fid1.wav,1,0.6804994344711304,0.4183816909790039,0.26211774349212646,3.504676580429077,3.6063016458813735,2.7249633727950924,2.6085566146520605,3.9785454273223877,3.543471752009244,3.6206159568076863,3.0597933924528933,0.47386884689331055,-0.06282989387212945,0.895652584012594,0.4512367778008328
A1V6P1ZE6Q8YEW_M_AirCon_Regular_HS_Desk_Neighbor_fid4.wav,1,0.6179906725883484,0.3150750398635864,0.30291563272476196,3.0177032947540283,3.0083239349299027,2.103613347547067,1.8821130700662245,3.6182072162628174,3.0813754683002035,3.33860047802988,2.546574547396183,0.6005039215087891,0.07305153337030079,1.2349871304828133,0.6644614773299586
A1V6P1ZE6Q8YEW_M_Clatter_Regular_HS_Desk_Neighbor_fid220.wav,1,0.5466631054878235,0.2965986430644989,0.2500644624233246,2.8566954135894775,2.369511888677266,1.7926171406639433,1.5763737774969677,3.1306774616241455,2.9568460096824163,3.4840870912075967,2.4828735755601765,0.27398204803466797,0.5873341210051501,1.6914699505436535,0.9064997980632088
A1V6P1ZE6Q8YEW_M_Copy_Regular_HS_Desk_Neighbor_fid36.wav,1,0.615866482257843,0.2966311275959015,0.31923535466194153,2.994655132293701,3.507334824343479,2.6572451554609637,2.443124249058819,3.6286797523498535,3.463442836902581,3.4629938058774163,2.913850127762651,0.6340246200561523,-0.04389198744089784,0.8057486504164526,0.4707258787038322
A1V6P1ZE6Q8YEW_M_Dish_Regular_HS_Desk_Neighbor_fid34.wav,1,0.6199593544006348,0.23568186163902283,0.38427749276161194,3.163191080093384,2.238821915753877,1.57019713688547,1.4534235667890294,3.1008541584014893,2.6595480924749015,2.961677156087463,2.0372032985680515,-0.06233692169189453,0.42072617672102464,1.391480019201993,0.5837797317790221
A1V6P1ZE6Q8YEW_M_Door_Regular_HS_Desk_Neighbor_fid36.wav,1,0.6478219032287598,0.351117342710495,0.29670456051826477,3.17612361907959,3.4412305058016637,2.833559965145808,2.505374917970812,3.819479465484619,3.333435327421287,3.6608136960822337,2.854069782952528,0.6433558464050293,-0.10779517838037656,0.8272537309364258,0.3486948649817161
A1V6P1ZE6Q8YEW_M_Fan_Regular_HS_Desk_Neighbor_fid32.wav,1,0.6295632719993591,0.4150806963443756,0.21448257565498352,3.3534088134765625,3.2328762815487417,2.652201251288575,2.268643349143162,3.8133082389831543,3.2829879755239926,3.4729983938272135,2.7439854955225997,0.4598994255065918,0.05011169397525084,0.8207971425386384,0.47534214637943784
A1V6P1ZE6Q8YEW_M_Fan_Regular_HS_Desk_Neighbor_fid33.wav,1,0.5837122797966003,0.327290803194046,0.2564214766025543,3.2319867610931396,3.5695906068463743,3.0779884272158697,2.7413822064593676,3.2398669719696045,3.387509374249136,3.514323342732092,2.8731087791499546,0.007880210876464844,-0.18208123259723852,0.4363349155162224,0.13172657269058696
A1V6P1ZE6Q8YEW_M_Fan_Regular_HS_Desk_Neighbor_fid38.wav,1,0.6442093253135681,0.39159438014030457,0.25261494517326355,3.6422057151794434,3.3273175000747046,2.5122814512784517,2.296725136346859,3.912301540374756,3.263224255356317,3.5998507687048535,2.8150557351467924,0.2700958251953125,-0.06409324471838751,1.0875693174264018,0.5183305987999334
A1V6P1ZE6Q8YEW_M_Fan_Regular_HS_Desk_Neighbor_fid39.wav,1,0.6053181290626526,0.29525813460350037,0.3100599944591522,2.819200277328491,2.467030174053325,1.7233041401192997,1.6084350114237227,3.042198657989502,3.1176574753207826,2.942046932720509,2.385168768965299,0.22299838066101074,0.6506273012674577,1.2187427926012095,0.7767337575415765
